Date,High,Low,Open,Close,Volume,Adj Close
1992-01-02,3172.6298828125,3139.31005859375,3152.10009765625,3172.39990234375,235500.0,3172.39990234375
1992-01-03,3210.639892578125,3165.919921875,3172.39990234375,3201.5,236200.0,3201.5
1992-01-06,3213.330078125,3191.860107421875,3201.5,3200.10009765625,272800.0,3200.10009765625
1992-01-07,3210.199951171875,3184.47998046875,3200.10009765625,3204.800048828125,255100.0,3204.800048828125
1992-01-08,3229.199951171875,3185.820068359375,3204.800048828125,3203.89990234375,290400.0,3203.89990234375
1992-01-09,3228.31005859375,3192.75,3203.89990234375,3209.5,298200.0,3209.5
1992-01-10,3217.1298828125,3185.3798828125,3209.5,3199.5,234400.0,3199.5
1992-01-13,3201.25,3179.110107421875,3199.5,3185.60009765625,193000.0,3185.60009765625
1992-01-14,3248.8798828125,3182.919921875,3185.60009765625,3246.199951171875,242200.0,3246.199951171875
1992-01-15,3263.419921875,3232.110107421875,3246.199951171875,3258.5,295600.0,3258.5
1992-01-16,3262.75,3222.050048828125,3258.5,3249.60009765625,381000.0,3249.60009765625
1992-01-17,3279.9599609375,3243.2900390625,3249.60009765625,3265.0,397800.0,3265.0
1992-01-20,3269.89990234375,3245.080078125,3265.0,3254.0,181900.0,3254.0
1992-01-21,3254.469970703125,3215.340087890625,3254.0,3223.39990234375,241600.0,3223.39990234375
1992-01-22,3256.0400390625,3216.909912109375,3223.39990234375,3255.800048828125,215900.0,3255.800048828125
1992-01-23,3266.989990234375,3222.93994140625,3255.800048828125,3226.699951171875,221400.0,3226.699951171875
1992-01-24,3248.429931640625,3216.679931640625,3226.699951171875,3232.800048828125,226000.0,3232.800048828125
1992-01-27,3246.64990234375,3230.550048828125,3232.800048828125,3240.60009765625,191100.0,3240.60009765625
1992-01-28,3275.489990234375,3239.93994140625,3240.60009765625,3272.10009765625,249600.0,3272.10009765625
1992-01-29,3299.18994140625,3218.469970703125,3272.10009765625,3225.0,325000.0,3225.0
1992-01-30,3247.320068359375,3216.010009765625,3225.0,3244.89990234375,220800.0,3244.89990234375
1992-01-31,3255.3701171875,3222.719970703125,3244.89990234375,3223.39990234375,206100.0,3223.39990234375
1992-02-03,3239.0400390625,3213.550048828125,3223.39990234375,3234.10009765625,188600.0,3234.10009765625
1992-02-04,3272.81005859375,3229.429931640625,3234.10009765625,3272.800048828125,239700.0,3272.800048828125
1992-02-05,3282.199951171875,3251.7900390625,3272.800048828125,3257.60009765625,273600.0,3257.60009765625
1992-02-06,3265.64990234375,3238.60009765625,3257.60009765625,3255.60009765625,204900.0,3255.60009765625
